Violations,AntennaViolations,RunTimeRoute,RunTimePlace,layercount,LayerM1,LayerM2,LayerM3,LayerM4,LayerM5,LayerM6,LayerM7,LayerL1,LayerL2,LayerL3,LayerL4,LayerBA,LayerBB,LayerBD,LayerBE,LayerBG,LayerFA,LayerFB,LayerU3T,LayerU3A,LayerLB,ViaCounts,NetCount,MetalStack,Date,Type40LP,RowDirection,RowCount,CoreUtil,CoreWidth,CoreHeight,AspectRatio,DoubleBack,FlipFirstRow,StartfromFirstRow
0,0,66,157,7,0,72051,151564,122471,64842,0,0,0,0,0,0,12611,0,0,0,0,0,0,0,0,0,229677,23582,5L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,162,189,8,0,64474,116552,136391,98189,0,0,0,0,0,0,0,0,0,0,0,8416,0,0,0,0,242673,23590,5L1x_1T6x_1T18x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,99,224,7,9,73531,150765,131436,67137,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,232340,23579,5L1x_1T6x_1T18x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,156,186,7,0,64304,116974,137400,99828,0,0,0,0,0,0,0,0,0,0,0,7224,0,0,0,0,242105,23582,5L1x_1T6x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,81,178,7,0,73262,152226,130636,64504,0,0,0,0,0,0,0,0,0,0,0,3258,0,0,0,0,230505,23582,5L1x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,142,199,8,0,63534,111876,132581,95891,0,0,0,0,0,0,0,0,0,0,0,11240,8234,0,0,0,242921,23580,5L1x_2T6x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,68,171,8,0,72408,147954,129297,66439,0,0,0,0,0,0,0,0,0,0,0,4969,2055,0,0,0,231561,23580,5L1x_2T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,69,172,9,0,71030,149383,120647,61181,17657,0,2880,0,0,0,0,0,0,0,0,225,0,0,0,0,231812,23847,6L1x_1L2x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,91,176,8,0,71286,145308,125317,51743,13992,0,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,228452,23584,6L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,82,181,8,5,71912,147143,118889,69315,16746,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,232391,23582,6L1x_1T6x_1T18x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
